UHRF1,29128,96.68896,29128,nan,,UHRF1,29128
EPS15,2060,97.64244,2060,nan,,EPS15,2060
RAI14,26064,98.54806,26064,nan,,RAI14,26064
COX6A1,1337,105.56344,1337,nan,,COX6A1,1337
ANKRD12,23253,96.226135,23253,nan,,ANKRD12,23253
SETD2,29072,96.66743,29072,nan,,SETD2,29072
NABP2,79035,104.65007,79035,nan,,NABP2,79035
TMEM147,10430,98.99687,10430,nan,,TMEM147,10430
BBS7,55212,98.09332,55212,nan,,BBS7,55212
EEF1A1P6,221838,38.55233,221838,nan,,EEF1A1P6,221838
EEF1A1P6,ENSG00000233476,37.530476,nan,nan,,LIX1L,128077
LIX1L,128077,100.80268,128077,nan,,CALM2,805
CALM2,805,101.779236,805,nan,,PRC1,9055
PRC1,9055,98.722275,9055,nan,,RBBP5,5929
RBBP5,5929,96.38291,5929,nan,,SUGT1,10910
SUGT1,10910,98.00482,10910,nan,,BAZ2B,29994
BAZ2B,29994,95.81348,29994,nan,,RP11-746M1.1,nan
RP11-746M1.1,nan,nan,nan,TRUE,,RN7SK,125050
RN7SK,125050,110.97258,125050,nan,,TPD52L2,7165
TPD52L2,7165,100.36522,7165,nan,,ARMCX3,51566
ARMCX3,51566,99.670456,51566,nan,,ATPIF1,93974
ATPIF1,93974,97.45456,93974,nan,,QKI,9444
QKI,9444,95.3119,9444,nan,,MAPKAP1,79109
MAPKAP1,79109,96.31852,79109,nan,,LYRM2,57226
LYRM2,57226,99.97443,57226,nan,,PDZD8,118987
PDZD8,118987,98.20155,118987,nan,,VSIG10,54621
VSIG10,54621,97.67387,54621,nan,,DHFR,1719
DHFR,1719,96.81152,1719,nan,,XRCC2,7516
XRCC2,7516,96.5281,7516,nan,,TMEM173,340061
TMEM173,340061,97.57746,340061,nan,,RPS18,6222
RPS18,6222,80.37687,6222,nan,,NFYB,4801
NFYB,4801,95.71341,4801,nan,,DDX60,55601
DDX60,55601,101.283104,55601,nan,,STAT6,6778
STAT6,6778,100.03921,6778,nan,,OSTF1,26578
OSTF1,26578,96.66743,26578,nan,,ZCCHC8,55596
ZCCHC8,55596,96.039825,55596,nan,,SRP9,6726
SRP9,6726,98.26474,6726,nan,,C1orf174,339448
C1orf174,339448,110.0506,339448,nan,,ERP44,23071
ERP44,23071,98.62458,23071,nan,,GTPBP2,54676
GTPBP2,54676,100.048836,54676,nan,,FKBP7,51661
FKBP7,51661,97.79614,51661,nan,,EIF2B3,8891
EIF2B3,8891,95.82807,8891,nan,,BZW1P2,151579
BZW1P2,151579,38.580593,151579,nan,,DDX21,9188
BZW1P2,ENSG00000198406,37.56897,nan,nan,,PQBP1,10084
DDX21,9188,99.75651,9188,nan,,STOML2,30968
PQBP1,10084,99.316376,10084,nan,,GGCT,79017
STOML2,30968,98.763306,30968,nan,,FAM127B,nan
GGCT,79017,97.53187,79017,nan,,IPO5,3843
FAM127B,nan,nan,nan,TRUE,,TCEA3,6920
IPO5,3843,99.316376,3843,nan,,CADPS2,93664
TCEA3,6920,98.911964,6920,nan,,NDUFV3,4731
CADPS2,93664,98.12442,93664,nan,,VRK2,7444
NDUFV3,4731,98.08596,4731,nan,,NPIPA7,101059938
VRK2,7444,97.28839,7444,nan,,KLHL20,27252
NPIPA7,101059938,114.264725,101059938,nan,,TSEN2,80746
KLHL20,27252,97.88593,27252,nan,,HIST1H4C,8364
TSEN2,80746,97.45282,80746,nan,,RHEB,6009
HIST1H4C,8364,112.40501,8364,nan,,GLOD4,51031
RHEB,6009,98.455666,6009,nan,,DPH3,285381
GLOD4,51031,99.91488,51031,nan,,RAD51C,5889
DPH3,285381,99.44595,285381,nan,,RPL26,6154
RAD51C,5889,95.45347,5889,nan,,BAD,572
RPL26,6154,100.70842,6154,nan,,RFWD2,64326
BAD,572,101.38301,572,nan,,SRP19,6728
RFWD2,64326,99.961044,64326,nan,,AC005523.2,ENSG00000269604
SRP19,6728,99.30086,6728,nan,,CTD-2328D6.1,nan
AC005523.2,ENSG00000269604,116.43831,nan,nan,,ANKRD36,375248
CTD-2328D6.1,nan,nan,nan,TRUE,,IFI27L1,122509
ANKRD36,375248,112.52142,375248,nan,,DAP3,7818
IFI27L1,122509,112.66781,122509,nan,,C5orf15,56951
DAP3,7818,97.52761,7818,nan,,RRM2B,50484
C5orf15,56951,110.94532,56951,nan,,RP11-475C16.1,nan
RRM2B,50484,98.3753,50484,nan,,C11orf83,nan
RP11-475C16.1,nan,nan,nan,TRUE,,DARS,1615
C11orf83,nan,nan,nan,TRUE,,RRBP1,6238
DARS,1615,95.72618,1615,nan,,RBM47,54502
RRBP1,6238,98.6996,6238,nan,,IER3,8870
RBM47,54502,98.37999,54502,nan,,ISY1,57461
IER3,8870,101.4865,8870,nan,,RBBP4,5928
ISY1,57461,102.16447,57461,nan,,RNF217,154214
RBBP4,5928,96.59609,5928,nan,,DDX50,79009
RNF217,154214,98.48305,154214,nan,,RANGRF,29098
DDX50,79009,102.58511,79009,nan,,RP11-761N21.2,nan
RANGRF,29098,96.49151,29098,nan,,RHOA,387
RP11-761N21.2,nan,nan,nan,TRUE,,ACTB,60
RHOA,387,100.309166,387,nan,,DHRS3,9249
ACTB,60,100.652695,60,nan,,PET100,100131801
DHRS3,9249,95.82246,9249,nan,,PSAP,5660
PET100,100131801,100.36464,100131801,nan,,RPS20,6224
PSAP,5660,96.40458,5660,nan,,VTA1,51534
RPS20,6224,93.88508,6224,nan,,PHC2,1912
VTA1,51534,99.44113,51534,nan,,C19orf70,125988
PHC2,1912,102.50945,1912,nan,,MT-CO1,nan
C19orf70,125988,114.19529,125988,nan,,CCT3,7203
MT-CO1,nan,nan,nan,TRUE,,TMEM138,51524
CCT3,7203,97.50216,7203,nan,,CHCHD1,118487
TMEM138,51524,96.60484,51524,nan,,RP11-1149O23.3,nan
CHCHD1,118487,95.49175,118487,nan,,FAIM,55179
RP11-1149O23.3,nan,nan,nan,TRUE,,MAP4,4134
FAIM,55179,98.129875,55179,nan,,RP11-425L10.1,nan
MAP4,4134,99.40269,4134,nan,,UPF3B,65109
RP11-425L10.1,nan,nan,nan,TRUE,,RIT1,6016
UPF3B,65109,95.80391,65109,nan,,RP5-857K21.11,nan
RIT1,6016,97.88593,6016,nan,,RNF135,84282
RP5-857K21.11,nan,nan,nan,TRUE,,LRP6,4040
RNF135,84282,97.51305,84282,nan,,SSB,6741
LRP6,4040,95.98211,4040,nan,,PRELID1,27166
SSB,6741,92.507225,6741,nan,,DNPH1,10591
PRELID1,27166,96.3566,27166,nan,,FIP1L1,81608
DNPH1,10591,99.65379,10591,nan,,LAS1L,81887
FIP1L1,81608,98.20155,81608,nan,,GBA,2629
LAS1L,81887,96.38924,81887,nan,,KIAA0247,nan
GBA,2629,98.63585,2629,nan,,TMED9,54732
KIAA0247,nan,nan,nan,TRUE,,BZW1,9689
TMED9,54732,100.859375,54732,nan,,GLE1,2733
BZW1,9689,99.63387,9689,nan,,GPR75-ASB3,100302652
GLE1,2733,96.32103,2733,nan,,MTRR,4552
GPR75-ASB3,100302652,116.47914,100302652,nan,,PSMD7,5713
MTRR,4552,95.358215,4552,nan,,F11R,50848
PSMD7,5713,95.68215,5713,nan,,KIAA1191,57179
F11R,50848,100.37684,50848,nan,,RABGGTB,5876
KIAA1191,57179,99.9928,57179,nan,,UBE2W,55284
RABGGTB,5876,96.205315,5876,nan,,TIAL1,7073
UBE2W,55284,95.13941,55284,nan,,UGDH,7358
TIAL1,7073,96.01596,7073,nan,,ELOVL6,79071
UGDH,7358,98.290634,7358,nan,,SCPEP1,59342
ELOVL6,79071,95.83619,79071,nan,,DUSP11,8446
SCPEP1,59342,98.247765,59342,nan,,RANBP2,5903
DUSP11,8446,95.32316,8446,nan,,MRPS16,51021
RANBP2,5903,99.29961,5903,nan,,DNAJB1,3337
MRPS16,51021,99.03485,51021,nan,,THOC1,9984
DNAJB1,3337,98.88732,3337,nan,,HOXA3,3200
THOC1,9984,94.63111,9984,nan,,STRN3,29966
HOXA3,3200,98.13672,3200,nan,,AIFM1,9131
STRN3,29966,96.794205,29966,nan,,HDAC2,3066
AIFM1,9131,98.35832,9131,nan,,TCTEX1D2,255758
HDAC2,3066,98.135666,3066,nan,,MRPL14,64928
TCTEX1D2,255758,96.8021,255758,nan,,IL8,nan
MRPL14,64928,97.42345,64928,nan,,RAB31,11031
IL8,nan,nan,nan,TRUE,,GOLPH3L,55204
RAB31,11031,98.54806,11031,nan,,DCTN3,11258
GOLPH3L,55204,97.571495,55204,nan,,GFM2,84340
DCTN3,11258,96.54259,11258,nan,,KPNA2,3838
GFM2,84340,96.66743,84340,nan,,RNF20,56254
KPNA2,3838,95.213234,3838,nan,,DYNC1LI1,51143
RNF20,56254,96.74834,56254,nan,,ACN9,nan
DYNC1LI1,51143,97.08757,51143,nan,,SMCHD1,23347
ACN9,nan,nan,nan,TRUE,,PPP4R2,151987
SMCHD1,23347,97.441185,23347,nan,,FAS,355
PPP4R2,151987,98.20806,151987,nan,,SNRPE,6635
FAS,355,98.33982,355,nan,,SACM1L,22908
SNRPE,6635,99.88517,6635,nan,,UCHL3,7347
